id	best_100	chosen_value	distance
1101.0	0.68	1.1325413009580803	0.8665726072664858
1095.0	0.63	1.043818620448097	0.8003234683934468
753.0	0.66	1.1000319932151035	0.9593217548634906
2150.0	0.71	1.0320800200826201	0.7794779465721908
2127.0	0.65	1.0823356092962666	0.7263660326017424
724.0	0.71	1.107878571657703	0.5561881097613581
629.0	0.7	1.1318979132140994	0.9295166062514773
1531.0	0.69	1.1178755302222043	0.639620244757927
1888.0	0.69	1.0739733748965274	0.8770514703442819
1546.0	0.75	1.0630089157919427	0.9895656245435934
1866.0	0.73	1.0499638880633801	0.7889937597153642
1811.0	0.67	1.1155083894895033	0.7944995332229041
1985.0	0.7	1.1124151347385978	0.8881363525639085
363.0	0.7	1.0868009379287762	0.7467305893357759
2560.0	0.69	1.0000698760670712	0.7501979898068352
2517.0	0.62	1.147381138334265	0.5006405108576846
314.0	0.71	1.0207808902192526	0.902120410135513
2483.0	0.67	1.1208691571750815	0.8961424521090293
219.0	0.72	1.0558140694818117	0.9733053910206475
1882.0	0.7	1.064906857731359	0.9799794981076819
1916.0	0.66	1.0944912801917213	0.7427392372533451
1961.0	0.66	1.1244044620862113	0.4511859157836954
1436.0	0.71	1.059774536166536	0.7399916287186569
2489.0	0.73	1.0881556001072503	1.0206129819599865
369.0	0.71	0.9765536157729497	0.9160731422203022
2584.0	0.66	1.0886360253188125	0.7519452764659099
387.0	0.71	1.0358681442488036	0.905425673611922
2410.0	0.6	1.097635780665431	1.0205178815004965
213.0	0.69	1.0746253155899266	0.8661657893503251
2467.0	0.64	1.1552536049122628	1.0232773551286096
1071.0	0.62	1.1153937024087934	0.5458861492578634
1006.0	0.68	1.0744792957910128	0.7404059935973853
759.0	0.7	1.1274169608778486	1.0395101382901109
2020.0	0.71	1.0926986577976574	0.6744671857400447
623.0	0.68	1.09355925174679	1.1183551607128162
654.0	0.67	1.0796609228553673	0.7323659298868129
189.0	0.64	1.106815428565179	1.0189560306990133
167.0	0.65	1.1381889978917603	0.9712067000669519
110.0	0.67	1.0541723145844326	0.7652509184660806
1638.0	0.65	1.1434896263305114	0.772197386327827
1735.0	0.69	1.1084644193802233	0.8199440491516189
800.0	0.7	1.1759658344256816	0.8228372480503194
994.0	0.68	1.114646002139946	0.9354192453801533
2259.0	0.66	1.0636396840064428	0.7976012850148785
